day;action;additional
0;Vacuum;Living room and bedroom
1;Dust;Shelves, desk, and electronics
2;Laundry;Wash and fold clothes
3;Kitchen;Clean countertops and appliances
4;Bathroom;Clean sink, toilet, and shower
5;Organize;Declutter one drawer or shelf
6;Rest;Only basic tidying
7;Vacuum;Whole apartment
8;Windows;Clean mirrors and windows
9;Laundry;Wash towels and bedding
10;Kitchen;Deep clean refrigerator
11;Bathroom;Replace towels and refill supplies
12;Organize;Sort documents and cables
13;Deep Clean;Mop floors and empty all trash bins
